csv,column
Aquaculture_Quantity.csv,AREA.CODE
Aquaculture_Quantity.csv,COUNTRY.UN_CODE
Aquaculture_Quantity.csv,ENVIRONMENT.ALPHA_2_CODE
Aquaculture_Quantity.csv,MEASURE
Aquaculture_Quantity.csv,PERIOD
Aquaculture_Quantity.csv,SPECIES.ALPHA_3_CODE
Aquaculture_Quantity.csv,STATUS
Aquaculture_Quantity.csv,VALUE
Aquaculture_Value.csv,AREA.CODE
Aquaculture_Value.csv,COUNTRY.UN_CODE
Aquaculture_Value.csv,ENVIRONMENT.ALPHA_2_CODE
Aquaculture_Value.csv,MEASURE
Aquaculture_Value.csv,PERIOD
Aquaculture_Value.csv,SPECIES.ALPHA_3_CODE
Aquaculture_Value.csv,STATUS
Aquaculture_Value.csv,VALUE
Capture_Quantity.csv,AREA.CODE
Capture_Quantity.csv,COUNTRY.UN_CODE
Capture_Quantity.csv,MEASURE
Capture_Quantity.csv,PERIOD
Capture_Quantity.csv,SPECIES.ALPHA_3_CODE
Capture_Quantity.csv,STATUS
Capture_Quantity.csv,VALUE
CL_FI_COUNTRY_GROUPS.csv,Continent_Group_Ar
CL_FI_COUNTRY_GROUPS.csv,Continent_Group_Cn
CL_FI_COUNTRY_GROUPS.csv,Continent_Group_En
CL_FI_COUNTRY_GROUPS.csv,Continent_Group_Es
CL_FI_COUNTRY_GROUPS.csv,Continent_Group_Fr
CL_FI_COUNTRY_GROUPS.csv,Continent_Group_Ru
CL_FI_COUNTRY_GROUPS.csv,EcoClass_Group_Ar
CL_FI_COUNTRY_GROUPS.csv,EcoClass_Group_Cn
CL_FI_COUNTRY_GROUPS.csv,EcoClass_Group_En
CL_FI_COUNTRY_GROUPS.csv,EcoClass_Group_Es
CL_FI_COUNTRY_GROUPS.csv,EcoClass_Group_Fr
CL_FI_COUNTRY_GROUPS.csv,EcoClass_Group_Ru
CL_FI_COUNTRY_GROUPS.csv,GeoRegion_Group_Ar
CL_FI_COUNTRY_GROUPS.csv,GeoRegion_Group_Cn
CL_FI_COUNTRY_GROUPS.csv,GeoRegion_Group_En
CL_FI_COUNTRY_GROUPS.csv,GeoRegion_Group_Es
CL_FI_COUNTRY_GROUPS.csv,GeoRegion_Group_Fr
CL_FI_COUNTRY_GROUPS.csv,GeoRegion_Group_Ru
CL_FI_COUNTRY_GROUPS.csv,Identifier
CL_FI_COUNTRY_GROUPS.csv,ISO2_Code
CL_FI_COUNTRY_GROUPS.csv,ISO3_Code
CL_FI_COUNTRY_GROUPS.csv,Name_Ar
CL_FI_COUNTRY_GROUPS.csv,Name_Cn
CL_FI_COUNTRY_GROUPS.csv,Name_En
CL_FI_COUNTRY_GROUPS.csv,Name_Es
CL_FI_COUNTRY_GROUPS.csv,Name_Fr
CL_FI_COUNTRY_GROUPS.csv,Name_Ru
CL_FI_COUNTRY_GROUPS.csv,Official_Name_Ar
CL_FI_COUNTRY_GROUPS.csv,Official_Name_Cn
CL_FI_COUNTRY_GROUPS.csv,Official_Name_En
CL_FI_COUNTRY_GROUPS.csv,Official_Name_Es
CL_FI_COUNTRY_GROUPS.csv,Official_Name_Fr
CL_FI_COUNTRY_GROUPS.csv,Official_Name_Ru
CL_FI_COUNTRY_GROUPS.csv,UN_Code
CL_FI_PRODENVIRONMENT.csv,Code
CL_FI_PRODENVIRONMENT.csv,Identifier
CL_FI_PRODENVIRONMENT.csv,Name_En
CL_FI_PRODENVIRONMENT.csv,Name_Es
CL_FI_PRODENVIRONMENT.csv,Name_Fr
CL_FI_PRODUCTION_SOURCE_DET.csv,Code
CL_FI_PRODUCTION_SOURCE_DET.csv,Identifier
CL_FI_PRODUCTION_SOURCE_DET.csv,Name_En
CL_FI_PRODUCTION_SOURCE_DET.csv,Name_Es
CL_FI_PRODUCTION_SOURCE_DET.csv,Name_Fr
CL_FI_PRODUCTION_SOURCE_DET.csv,Sort
CL_FI_SPECIES_GROUPS.csv,Author
CL_FI_SPECIES_GROUPS.csv,CPC_Class_Ar
CL_FI_SPECIES_GROUPS.csv,CPC_Class_Cn
CL_FI_SPECIES_GROUPS.csv,CPC_Class_En
CL_FI_SPECIES_GROUPS.csv,CPC_Class_Es
CL_FI_SPECIES_GROUPS.csv,CPC_Class_Fr
CL_FI_SPECIES_GROUPS.csv,CPC_Class_Ru
CL_FI_SPECIES_GROUPS.csv,CPC_Group_Ar
CL_FI_SPECIES_GROUPS.csv,CPC_Group_Cn
CL_FI_SPECIES_GROUPS.csv,CPC_Group_En
CL_FI_SPECIES_GROUPS.csv,CPC_Group_Es
CL_FI_SPECIES_GROUPS.csv,CPC_Group_Fr
CL_FI_SPECIES_GROUPS.csv,CPC_Group_Ru
CL_FI_SPECIES_GROUPS.csv,Identifier
CL_FI_SPECIES_GROUPS.csv,ISSCAAP_Group_Ar
CL_FI_SPECIES_GROUPS.csv,ISSCAAP_Group_Cn
CL_FI_SPECIES_GROUPS.csv,ISSCAAP_Group_En
CL_FI_SPECIES_GROUPS.csv,ISSCAAP_Group_Es
CL_FI_SPECIES_GROUPS.csv,ISSCAAP_Group_Fr
CL_FI_SPECIES_GROUPS.csv,ISSCAAP_Group_Ru
CL_FI_SPECIES_GROUPS.csv,Major_Group
CL_FI_SPECIES_GROUPS.csv,Name_Ar
CL_FI_SPECIES_GROUPS.csv,Name_Cn
CL_FI_SPECIES_GROUPS.csv,Name_En
CL_FI_SPECIES_GROUPS.csv,Name_Es
CL_FI_SPECIES_GROUPS.csv,Name_Fr
CL_FI_SPECIES_GROUPS.csv,Name_Ru
CL_FI_SPECIES_GROUPS.csv,Scientific_Name
CL_FI_SPECIES_GROUPS.csv,Taxonomic_Code
CL_FI_SPECIES_GROUPS.csv,X3A_Code
CL_FI_SPECIES_GROUPS.csv,Yearbook_Group_Ar
CL_FI_SPECIES_GROUPS.csv,Yearbook_Group_Cn
CL_FI_SPECIES_GROUPS.csv,Yearbook_Group_En
CL_FI_SPECIES_GROUPS.csv,Yearbook_Group_Es
CL_FI_SPECIES_GROUPS.csv,Yearbook_Group_Fr
CL_FI_SPECIES_GROUPS.csv,Yearbook_Group_Ru
CL_FI_SYMBOL_SDMX.csv,Alternate
CL_FI_SYMBOL_SDMX.csv,Description_En
CL_FI_SYMBOL_SDMX.csv,Identifier
CL_FI_SYMBOL_SDMX.csv,Name_En
CL_FI_SYMBOL_SDMX.csv,Name_Es
CL_FI_SYMBOL_SDMX.csv,Name_Fr
CL_FI_SYMBOL_SDMX.csv,Symbol
CL_FI_WATERAREA_GROUPS.csv,Code
CL_FI_WATERAREA_GROUPS.csv,FARegion_Group_Ar
CL_FI_WATERAREA_GROUPS.csv,FARegion_Group_Cn
CL_FI_WATERAREA_GROUPS.csv,FARegion_Group_En
CL_FI_WATERAREA_GROUPS.csv,FARegion_Group_Es
CL_FI_WATERAREA_GROUPS.csv,FARegion_Group_Fr
CL_FI_WATERAREA_GROUPS.csv,FARegion_Group_Ru
CL_FI_WATERAREA_GROUPS.csv,InlandMarine_Group_Ar
CL_FI_WATERAREA_GROUPS.csv,InlandMarine_Group_Cn
CL_FI_WATERAREA_GROUPS.csv,InlandMarine_Group_En
CL_FI_WATERAREA_GROUPS.csv,InlandMarine_Group_Es
CL_FI_WATERAREA_GROUPS.csv,InlandMarine_Group_Fr
CL_FI_WATERAREA_GROUPS.csv,InlandMarine_Group_Ru
CL_FI_WATERAREA_GROUPS.csv,Name_Ar
CL_FI_WATERAREA_GROUPS.csv,Name_Cn
CL_FI_WATERAREA_GROUPS.csv,Name_En
CL_FI_WATERAREA_GROUPS.csv,Name_Es
CL_FI_WATERAREA_GROUPS.csv,Name_Fr
CL_FI_WATERAREA_GROUPS.csv,Name_Ru
CL_FI_WATERAREA_GROUPS.csv,Ocean_Group_Ar
CL_FI_WATERAREA_GROUPS.csv,Ocean_Group_Cn
CL_FI_WATERAREA_GROUPS.csv,Ocean_Group_En
CL_FI_WATERAREA_GROUPS.csv,Ocean_Group_Es
CL_FI_WATERAREA_GROUPS.csv,Ocean_Group_Fr
CL_FI_WATERAREA_GROUPS.csv,Ocean_Group_Ru
FSJ_UNIT.csv,Code
FSJ_UNIT.csv,Description_En
FSJ_UNIT.csv,Description_Es
FSJ_UNIT.csv,Description_Fr
FSJ_UNIT.csv,Identifier
FSJ_UNIT.csv,Multiplier
FSJ_UNIT.csv,Name_En
FSJ_UNIT.csv,Name_Es
FSJ_UNIT.csv,Name_Fr
FSJ_UNIT.csv,Short_Name
FSJ_UNIT.csv,SWS_Unit
FSJ_UNIT.csv,Unit
Global_production_quantity.csv,AREA.CODE
Global_production_quantity.csv,COUNTRY.UN_CODE
Global_production_quantity.csv,MEASURE
Global_production_quantity.csv,PERIOD
Global_production_quantity.csv,PRODUCTION_SOURCE_DET.CODE
Global_production_quantity.csv,SPECIES.ALPHA_3_CODE
Global_production_quantity.csv,STATUS
Global_production_quantity.csv,VALUE
