csv,column
CL_FI_WATERAREA_GROUPS.csv,Name_Ar
CL_FI_WATERAREA_GROUPS.csv,Name_Cn
CL_FI_WATERAREA_GROUPS.csv,Name_Ru
CL_FI_WATERAREA_GROUPS.csv,Ocean_Group_En
CL_FI_WATERAREA_GROUPS.csv,Ocean_Group_Fr
CL_FI_WATERAREA_GROUPS.csv,Ocean_Group_Es
CL_FI_WATERAREA_GROUPS.csv,Ocean_Group_Ar
CL_FI_WATERAREA_GROUPS.csv,Ocean_Group_Cn
CL_FI_WATERAREA_GROUPS.csv,Ocean_Group_Ru
CL_FI_WATERAREA_GROUPS.csv,InlandMarine_Group_En
CL_FI_WATERAREA_GROUPS.csv,InlandMarine_Group_Fr
CL_FI_WATERAREA_GROUPS.csv,InlandMarine_Group_Es
CL_FI_WATERAREA_GROUPS.csv,InlandMarine_Group_Ar
CL_FI_WATERAREA_GROUPS.csv,InlandMarine_Group_Cn
CL_FI_WATERAREA_GROUPS.csv,InlandMarine_Group_Ru
CL_FI_WATERAREA_GROUPS.csv,FARegion_Group_En
CL_FI_WATERAREA_GROUPS.csv,FARegion_Group_Fr
CL_FI_WATERAREA_GROUPS.csv,FARegion_Group_Es
CL_FI_WATERAREA_GROUPS.csv,FARegion_Group_Ar
CL_FI_WATERAREA_GROUPS.csv,FARegion_Group_Cn
CL_FI_WATERAREA_GROUPS.csv,FARegion_Group_Ru
FSJ_UNIT.csv,Code
FSJ_UNIT.csv,Description_En
FSJ_UNIT.csv,Description_Es
FSJ_UNIT.csv,Description_Fr
FSJ_UNIT.csv,Identifier
FSJ_UNIT.csv,Multiplier
FSJ_UNIT.csv,Name_Ar
FSJ_UNIT.csv,Name_Cn
FSJ_UNIT.csv,Name_En
FSJ_UNIT.csv,Name_Es
FSJ_UNIT.csv,Name_Fr
FSJ_UNIT.csv,Name_Ru
FSJ_UNIT.csv,SWS_Unit
FSJ_UNIT.csv,Unit
CAPTURE_QUANTITY.csv,COUNTRY.UN_CODE
CAPTURE_QUANTITY.csv,SPECIES.ALPHA_3_CODE
CAPTURE_QUANTITY.csv,AREA.CODE
CAPTURE_QUANTITY.csv,MEASURE
CAPTURE_QUANTITY.csv,PERIOD
CAPTURE_QUANTITY.csv,VALUE
CAPTURE_QUANTITY.csv,STATUS
CL_FI_PRODUCTION_SOURCE_DET.csv,Code
CL_FI_PRODUCTION_SOURCE_DET.csv,Identifier
CL_FI_PRODUCTION_SOURCE_DET.csv,Name_En
CL_FI_PRODUCTION_SOURCE_DET.csv,Name_Es
CL_FI_PRODUCTION_SOURCE_DET.csv,Name_Fr
CL_FI_PRODUCTION_SOURCE_DET.csv,Sort
GLOBAL_PRODUCTION_QUANTITY.csv,COUNTRY.UN_CODE
GLOBAL_PRODUCTION_QUANTITY.csv,SPECIES.ALPHA_3_CODE
GLOBAL_PRODUCTION_QUANTITY.csv,AREA.CODE
GLOBAL_PRODUCTION_QUANTITY.csv,PRODUCTION_SOURCE_DET.CODE
GLOBAL_PRODUCTION_QUANTITY.csv,MEASURE
GLOBAL_PRODUCTION_QUANTITY.csv,PERIOD
GLOBAL_PRODUCTION_QUANTITY.csv,VALUE
GLOBAL_PRODUCTION_QUANTITY.csv,STATUS
