zip,csv,nrow,ncol
Aquaculture_2018.1.2.zip,CL_FI_COUNTRY_GROUPS.csv,275,19
Aquaculture_2018.1.2.zip,CL_FI_ENVIRONMENT.csv,4,5
Aquaculture_2018.1.2.zip,CL_FI_SPECIES_GROUPS.csv,12723,18
Aquaculture_2018.1.2.zip,CL_FI_SYMBOL.csv,6,4
Aquaculture_2018.1.2.zip,CL_FI_UNIT.csv,7,4
Aquaculture_2018.1.2.zip,CL_FI_WATERAREA_GROUPS.csv,29,7
Aquaculture_2018.1.2.zip,TS_FI_AQUACULTURE.csv,88679,10
Capture_2018.1.2.zip,TS_FI_CAPTURE.csv,932279,7
GlobalProduction_2018.1.2.zip,CL_FI_PRODUCTION_SOURCE.csv,5,5
GlobalProduction_2018.1.2.zip,TS_FI_PRODUCTION.csv,1020958,8
