zip,csv,nrow,ncol
Aquaculture_2025.1.0.zip,Aquaculture_Quantity.csv,104598,8
Aquaculture_2025.1.0.zip,Aquaculture_Value.csv,83535,8
Aquaculture_2025.1.0.zip,CL_FI_COUNTRY_GROUPS.csv,275,34
Aquaculture_2025.1.0.zip,CL_FI_PRODENVIRONMENT.csv,4,5
Aquaculture_2025.1.0.zip,CL_FI_SPECIES_GROUPS.csv,13596,36
Aquaculture_2025.1.0.zip,CL_FI_SYMBOL_SDMX.csv,16,7
Aquaculture_2025.1.0.zip,CL_FI_WATERAREA_GROUPS.csv,29,25
Aquaculture_2025.1.0.zip,FSJ_UNIT.csv,11,12
Capture_2025.1.0.zip,Capture_Quantity.csv,1055015,7
GlobalProduction_2025.1.0.zip,CL_FI_PRODUCTION_SOURCE_DET.csv,4,6
GlobalProduction_2025.1.0.zip,Global_production_quantity.csv,1159613,8
