csv,col
CL_FI_AREA_GROUPS.csv,Code
CL_FI_AREA_GROUPS.csv,Name_en
CL_FI_AREA_GROUPS.csv,Name_fr
CL_FI_AREA_GROUPS.csv,Name_es
CL_FI_AREA_GROUPS.csv,Ocean_Group
CL_FI_AREA_GROUPS.csv,Major_Group
CL_FI_AREA_GROUPS.csv,FARegion_Group
CL_FI_COUNTRY_GROUPS.csv,UN_CODE
CL_FI_COUNTRY_GROUPS.csv,ISO2_CODE
CL_FI_COUNTRY_GROUPS.csv,ISO3_CODE
CL_FI_COUNTRY_GROUPS.csv,Name_en
CL_FI_COUNTRY_GROUPS.csv,Name_fr
CL_FI_COUNTRY_GROUPS.csv,Name_es
CL_FI_COUNTRY_GROUPS.csv,Name_ar
CL_FI_COUNTRY_GROUPS.csv,Name_cn
CL_FI_COUNTRY_GROUPS.csv,Name_ru
CL_FI_COUNTRY_GROUPS.csv,OFFICIAL_Name_en
CL_FI_COUNTRY_GROUPS.csv,OFFICIAL_Name_fr
CL_FI_COUNTRY_GROUPS.csv,OFFICIAL_Name_es
CL_FI_COUNTRY_GROUPS.csv,OFFICIAL_Name_ar
CL_FI_COUNTRY_GROUPS.csv,OFFICIAL_Name_ch
CL_FI_COUNTRY_GROUPS.csv,OFFICIAL_Name_ru
CL_FI_COUNTRY_GROUPS.csv,Continent_Group
CL_FI_COUNTRY_GROUPS.csv,EcoClass_Group
CL_FI_COUNTRY_GROUPS.csv,Region_Group
CL_FI_COUNTRY_GROUPS.csv,FIGIS_ID
CL_FI_PRODUCTION_SOURCE.csv,Code
CL_FI_PRODUCTION_SOURCE.csv,Name_E
CL_FI_PRODUCTION_SOURCE.csv,Name_F
CL_FI_PRODUCTION_SOURCE.csv,Name_S
CL_FI_SPECIES_GROUPS.csv,X3Alpha_Code
CL_FI_SPECIES_GROUPS.csv,Taxonomic_Code
CL_FI_SPECIES_GROUPS.csv,Name_en
CL_FI_SPECIES_GROUPS.csv,Name_fr
CL_FI_SPECIES_GROUPS.csv,Name_es
CL_FI_SPECIES_GROUPS.csv,Name_ar
CL_FI_SPECIES_GROUPS.csv,Name_cn
CL_FI_SPECIES_GROUPS.csv,Name_ru
CL_FI_SPECIES_GROUPS.csv,Scientific_Name
CL_FI_SPECIES_GROUPS.csv,Author
CL_FI_SPECIES_GROUPS.csv,Family_Group
CL_FI_SPECIES_GROUPS.csv,Order_Group
CL_FI_SPECIES_GROUPS.csv,Major_Group
CL_FI_SPECIES_GROUPS.csv,Yearbook_Group
CL_FI_SPECIES_GROUPS.csv,ISSCAAP_Group
CL_FI_SPECIES_GROUPS.csv,CPC_Group
CL_FI_SPECIES_GROUPS.csv,CPCdiv_Group
CL_FI_SYMBOL.csv,Code
CL_FI_SYMBOL.csv,Symbol
CL_FI_SYMBOL.csv,Name
CL_FI_SYMBOL.csv,Description
TS_FI_AQUACULTURE.csv,Country
TS_FI_AQUACULTURE.csv,Production_Area
TS_FI_AQUACULTURE.csv,Environment
TS_FI_AQUACULTURE.csv,Species
TS_FI_AQUACULTURE.csv,Year
TS_FI_AQUACULTURE.csv,Quantity
TS_FI_AQUACULTURE.csv,Quantity_Symbol
TS_FI_AQUACULTURE.csv,Value
TS_FI_AQUACULTURE.csv,Value_Symbol
CL_FI_UNIT.csv,Code
CL_FI_UNIT.csv,Name_en
CL_FI_UNIT.csv,Name_fr
CL_FI_UNIT.csv,Name_es
TS_FI_CAPTURE.csv,Country
TS_FI_CAPTURE.csv,Fishing_Area
TS_FI_CAPTURE.csv,Species
TS_FI_CAPTURE.csv,Year
TS_FI_CAPTURE.csv,Quantity
TS_FI_CAPTURE.csv,Symbol
TS_FI_CAPTURE.csv,Unit
TS_FI_PRODUCTION.csv,Country
TS_FI_PRODUCTION.csv,Area
TS_FI_PRODUCTION.csv,Source
TS_FI_PRODUCTION.csv,Species
TS_FI_PRODUCTION.csv,Year
TS_FI_PRODUCTION.csv,Quantity
TS_FI_PRODUCTION.csv,Quantity_Symbol
