csv,col
CL_FI_WATERAREA_GROUPS.csv,Name_Ru
CL_FI_WATERAREA_GROUPS.csv,Ocean_Group_En
CL_FI_WATERAREA_GROUPS.csv,Ocean_Group_Fr
CL_FI_WATERAREA_GROUPS.csv,Ocean_Group_Es
CL_FI_WATERAREA_GROUPS.csv,Ocean_Group_Ar
CL_FI_WATERAREA_GROUPS.csv,Ocean_Group_Cn
CL_FI_WATERAREA_GROUPS.csv,Ocean_Group_Ru
CL_FI_WATERAREA_GROUPS.csv,InlandMarine_Group_En
CL_FI_WATERAREA_GROUPS.csv,InlandMarine_Group_Fr
CL_FI_WATERAREA_GROUPS.csv,InlandMarine_Group_Es
CL_FI_WATERAREA_GROUPS.csv,InlandMarine_Group_Ar
CL_FI_WATERAREA_GROUPS.csv,InlandMarine_Group_Cn
CL_FI_WATERAREA_GROUPS.csv,InlandMarine_Group_Ru
CL_FI_WATERAREA_GROUPS.csv,FARegion_Group_En
CL_FI_WATERAREA_GROUPS.csv,FARegion_Group_Fr
CL_FI_WATERAREA_GROUPS.csv,FARegion_Group_Es
CL_FI_WATERAREA_GROUPS.csv,FARegion_Group_Ar
CL_FI_WATERAREA_GROUPS.csv,FARegion_Group_Cn
CL_FI_WATERAREA_GROUPS.csv,FARegion_Group_Ru
FSJ_UNIT.csv,Code
FSJ_UNIT.csv,Description_En
FSJ_UNIT.csv,Description_Es
FSJ_UNIT.csv,Description_Fr
FSJ_UNIT.csv,Identifier
FSJ_UNIT.csv,Multiplier
FSJ_UNIT.csv,Name_En
FSJ_UNIT.csv,Name_Es
FSJ_UNIT.csv,Name_Fr
FSJ_UNIT.csv,SWS_Unit
FSJ_UNIT.csv,Short_Name
FSJ_UNIT.csv,Unit
Capture_Quantity.csv,COUNTRY.UN_CODE
Capture_Quantity.csv,SPECIES.ALPHA_3_CODE
Capture_Quantity.csv,AREA.CODE
Capture_Quantity.csv,MEASURE
Capture_Quantity.csv,PERIOD
Capture_Quantity.csv,VALUE
Capture_Quantity.csv,STATUS
CL_FI_PRODUCTION_SOURCE_DET.csv,Code
CL_FI_PRODUCTION_SOURCE_DET.csv,Identifier
CL_FI_PRODUCTION_SOURCE_DET.csv,Name_En
CL_FI_PRODUCTION_SOURCE_DET.csv,Name_Es
CL_FI_PRODUCTION_SOURCE_DET.csv,Name_Fr
CL_FI_PRODUCTION_SOURCE_DET.csv,Sort
Global_production_Quantity.csv,COUNTRY.UN_CODE
Global_production_Quantity.csv,SPECIES.ALPHA_3_CODE
Global_production_Quantity.csv,AREA.CODE
Global_production_Quantity.csv,PRODUCTION_SOURCE_DET.CODE
Global_production_Quantity.csv,MEASURE
Global_production_Quantity.csv,PERIOD
Global_production_Quantity.csv,VALUE
Global_production_Quantity.csv,STATUS
