csv,col
CL_FI_COUNTRY_GROUPS.csv,UN_Code
CL_FI_COUNTRY_GROUPS.csv,Identifier
CL_FI_COUNTRY_GROUPS.csv,ISO2_Code
CL_FI_COUNTRY_GROUPS.csv,ISO3_Code
CL_FI_COUNTRY_GROUPS.csv,Name_En
CL_FI_COUNTRY_GROUPS.csv,Name_Fr
CL_FI_COUNTRY_GROUPS.csv,Name_Es
CL_FI_COUNTRY_GROUPS.csv,Name_Ar
CL_FI_COUNTRY_GROUPS.csv,Name_Cn
CL_FI_COUNTRY_GROUPS.csv,Name_Ru
CL_FI_COUNTRY_GROUPS.csv,Official_Name_En
CL_FI_COUNTRY_GROUPS.csv,Official_Name_Fr
CL_FI_COUNTRY_GROUPS.csv,Official_Name_Es
CL_FI_COUNTRY_GROUPS.csv,Official_Name_Ar
CL_FI_COUNTRY_GROUPS.csv,Official_Name_Cn
CL_FI_COUNTRY_GROUPS.csv,Official_Name_Ru
CL_FI_COUNTRY_GROUPS.csv,Continent_Group
CL_FI_COUNTRY_GROUPS.csv,EcoClass_Group
CL_FI_COUNTRY_GROUPS.csv,GeoRegion_Group
CL_FI_ENVIRONMENT.csv,Identifier
CL_FI_ENVIRONMENT.csv,Code
CL_FI_ENVIRONMENT.csv,Name_En
CL_FI_ENVIRONMENT.csv,Name_Fr
CL_FI_ENVIRONMENT.csv,Name_Es
CL_FI_SPECIES_GROUPS.csv,X3Alpha_Code
CL_FI_SPECIES_GROUPS.csv,Taxonomic_Code
CL_FI_SPECIES_GROUPS.csv,Identifier
CL_FI_SPECIES_GROUPS.csv,Name_En
CL_FI_SPECIES_GROUPS.csv,Name_Fr
CL_FI_SPECIES_GROUPS.csv,Name_Es
CL_FI_SPECIES_GROUPS.csv,Name_Ar
CL_FI_SPECIES_GROUPS.csv,Name_Cn
CL_FI_SPECIES_GROUPS.csv,Name_Ru
CL_FI_SPECIES_GROUPS.csv,Scientific_Name
CL_FI_SPECIES_GROUPS.csv,Author
CL_FI_SPECIES_GROUPS.csv,Family
CL_FI_SPECIES_GROUPS.csv,Order
CL_FI_SPECIES_GROUPS.csv,Major_Group
CL_FI_SPECIES_GROUPS.csv,Yearbook_Group
CL_FI_SPECIES_GROUPS.csv,ISSCAAP_Group
CL_FI_SPECIES_GROUPS.csv,CPC_Class
CL_FI_SPECIES_GROUPS.csv,CPC_Group
CL_FI_SYMBOL.csv,Code
CL_FI_SYMBOL.csv,Symbol
CL_FI_SYMBOL.csv,Name
CL_FI_SYMBOL.csv,Description
CL_FI_UNIT.csv,Code
CL_FI_UNIT.csv,Name_En
CL_FI_UNIT.csv,Name_Fr
CL_FI_UNIT.csv,Name_Es
CL_FI_WATERAREA_GROUPS.csv,Code
CL_FI_WATERAREA_GROUPS.csv,Name_en
CL_FI_WATERAREA_GROUPS.csv,Name_fr
CL_FI_WATERAREA_GROUPS.csv,Name_es
CL_FI_WATERAREA_GROUPS.csv,Ocean_Group
CL_FI_WATERAREA_GROUPS.csv,InlandMarine_Group
CL_FI_WATERAREA_GROUPS.csv,FARegion_Group
TS_FI_AQUACULTURE.csv,COUNTRY
TS_FI_AQUACULTURE.csv,PRODUCTION_AREA
TS_FI_AQUACULTURE.csv,ENVIRONMENT
TS_FI_AQUACULTURE.csv,SPECIES
TS_FI_AQUACULTURE.csv,YEAR
TS_FI_AQUACULTURE.csv,QUANTITY_UNIT
TS_FI_AQUACULTURE.csv,QUANTITY
TS_FI_AQUACULTURE.csv,QUANTITY_SYMBOL
TS_FI_AQUACULTURE.csv,VALUE
TS_FI_AQUACULTURE.csv,VALUE_SYMBOL
TS_FI_CAPTURE.csv,COUNTRY
TS_FI_CAPTURE.csv,FISHING_AREA
TS_FI_CAPTURE.csv,SPECIES
TS_FI_CAPTURE.csv,YEAR
TS_FI_CAPTURE.csv,UNIT
TS_FI_CAPTURE.csv,QUANTITY
TS_FI_CAPTURE.csv,SYMBOL
CL_FI_PRODUCTION_SOURCE.csv,Identifier
CL_FI_PRODUCTION_SOURCE.csv,Code
CL_FI_PRODUCTION_SOURCE.csv,Name_En
CL_FI_PRODUCTION_SOURCE.csv,Name_Fr
CL_FI_PRODUCTION_SOURCE.csv,Name_Es
TS_FI_PRODUCTION.csv,COUNTRY
TS_FI_PRODUCTION.csv,AREA
TS_FI_PRODUCTION.csv,SOURCE
TS_FI_PRODUCTION.csv,SPECIES
TS_FI_PRODUCTION.csv,YEAR
TS_FI_PRODUCTION.csv,UNIT
TS_FI_PRODUCTION.csv,QUANTITY
TS_FI_PRODUCTION.csv,SYMBOL
