"table","column","min","max","unique","nrow"
"aquaculture","species","AAA","ZHB",710,99957
"aquaculture","year","1950","2021",72,99957
"aquaculture","area","1","87",22,99957
"aquaculture","country","4","894",214,99957
"aquaculture","value","0","11778475",22045,99957
"aquaculture","measure","Q_tlw","Q_tlw",1,99957
"aquaculture","status","","N",3,99957
"aquaculture","environment","BW","MA",3,99957
"area","area","1","99",29,29
"area","area_name","Africa -...","Pacific,...",29,29
"area","inlandmarine","Inland w...","Marine a...",2,29
"area","faregion","","Southern...",4,29
"area","ocean","","Southern...",5,29
"capture","species","AAB","ZYP",3417,1030435
"capture","year","1950","2021",72,1030435
"capture","area","1","99",28,1030435
"capture","country","4","896",247,1030435
"capture","value","0","12277000",76484,1030435
"capture","measure","Q_no_1","Q_tlw",2,1030435
"capture","status","","N",3,1030435
"country","country","0","896",275,275
"country","country_name","Afghanistan","Zimbabwe",274,275
"country","iso2","","ZW",258,275
"country","iso3","","ZWE",260,275
"country","continent","","Oceania",6,275
"country","georegion","","Western ...",23,275
"country","ecoclass","","Upper-mi...",6,275
"country","official","","Western ...",268,275
"environment","environment","AL","MA",4,4
"environment","environment_name","All envi...","Marine",4,4
"measure","measure","E_h_1","V_USD_1000",11,11
"measure","measure_name","Effort (...","Value (U...",11,11
"measure","short","Effort (...","USD (1000)",11,11
"measure","multiplier","1","1000",2,11
"measure","unit","h","USD",8,11
"measure","measure_description","","Observed...",7,11
"measure","sws","","FI_004",5,11
"production","species","AAA","ZYP",3598,1130392
"production","year","1950","2021",72,1130392
"production","area","1","99",28,1130392
"production","country","4","896",247,1130392
"production","value","0","12277000",87608,1130392
"production","measure","Q_no_1","Q_tlw",2,1130392
"production","status","","N",3,1130392
"production","source","BRACKISH...","MARINE",4,1130392
"source","source","AQUACULTURE","MARINE",5,5
"source","source_name","Aquacult...","Capture ...",5,5
"species","species","AAA","ZZE",13417,13417
"species","species_name","","Zugmayer...",9938,13417
"species","scientific","Aaptosya...","Zygochla...",13404,13417
"species","isscaap","","Turtles",51,13417
"species","major","AMPHIBIA...","PLANTAE ...",7,13417
"species","cpc_class","","Tunas, s...",30,13417
"species","cpc_group","","Other aq...",6,13417
"species","yearbook","","Other aq...",4,13417
"species","author","","zur Stra...",5558,13417
"species","taxonomic","10200100...","7990XXXX...",13417,13417
"status","status","","T",7,7
"status","status_name","ESTIMATE","ZERO",7,7
"status","status_description","Data cre...","Official...",7,7
"status","alternate","","0",5,7
